date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:21:33	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f777b31-239b%22	https://adammukti.github.io/robots.txt		(from )
02:21:33	3426/3426	---M-Z	200	added ('OK')	text/html	etag:W/%22605ae2d3-d62%22	https://adammukti.github.io/Tiktok/	C:/My%20Web%20Sites/Ayy/adammukti.github.io/Tiktok/index.html	(from )
02:21:34	160392/160392	---M-Z	200	added ('OK')	text/css	etag:W/%2227288-jtLWNQ0j+FfZKAVzfQ+XxnXeZms%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/Ayy/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	(from https://adammukti.github.io/Tiktok/)
02:21:34	24459/24459	---M-Z	200	added ('OK')	text/css	etag:W/%225f8b-YmwW9y7XluJ7k8bQcMXGo4d0Th4%22	https://cdn.jsdelivr.net/npm/sweetalert2@10.8.1/dist/sweetalert2.min.css	C:/My%20Web%20Sites/Ayy/cdn.jsdelivr.net/npm/sweetalert2@10.8.1/dist/sweetalert2.min.css	(from https://adammukti.github.io/Tiktok/)
02:21:35	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/Ayy/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://adammukti.github.io/Tiktok/)
02:21:35	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22605ae2d3-3c2e%22	https://adammukti.github.io/Tiktok/favicon.ico	C:/My%20Web%20Sites/Ayy/adammukti.github.io/Tiktok/favicon.ico	(from https://adammukti.github.io/Tiktok/)
02:21:35	11406/11406	---M-Z	200	added ('OK')	application/javascript	etag:W/%22605ae2d3-2c8e%22	https://adammukti.github.io/Tiktok/script.js	C:/My%20Web%20Sites/Ayy/adammukti.github.io/Tiktok/script.js	(from https://adammukti.github.io/Tiktok/)
02:21:36	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2031%20Dec%202021%2019:21:33%20GMT	https://kit.fontawesome.com/61e5120832.js	C:/My%20Web%20Sites/Ayy/kit.fontawesome.com/61e5120832.js	(from https://adammukti.github.io/Tiktok/)
02:21:37	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-11abc%22	https://code.jquery.com/jquery-3.5.1.slim.min.js	C:/My%20Web%20Sites/Ayy/code.jquery.com/jquery-3.5.1.slim.min.js	(from https://adammukti.github.io/Tiktok/)
02:21:37	84152/84152	---M-Z	200	added ('OK')	application/javascript	etag:W/%22148b8-qycDEVlyTiQh9v9ccPSOZXq+nTk%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Ayy/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js	(from https://adammukti.github.io/Tiktok/)
02:21:37	69356/69356	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210eec-KL5ZZ72vGEI+XwNhcSdhqckLz3k%22	https://cdn.jsdelivr.net/npm/sweetalert2@10.8.1/dist/sweetalert2.all.min.js	C:/My%20Web%20Sites/Ayy/cdn.jsdelivr.net/npm/sweetalert2@10.8.1/dist/sweetalert2.all.min.js	(from https://adammukti.github.io/Tiktok/)
